"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2021","14,530.0","14,515.0","14,572.5","14,515.0","0.11K","0.00%"
"07/02/2021","14,530.0","14,515.0","14,572.5","14,515.0","0.11K","0.21%"
"07/01/2021","14,500.0","14,510.0","14,555.0","14,500.0","0.12K","0.03%"
"06/30/2021","14,495.0","14,500.0","14,560.0","14,497.5","0.17K","0.10%"
"06/29/2021","14,480.0","14,455.0","14,494.0","14,455.0","0.09K","0.28%"
"06/28/2021","14,440.0","14,415.0","14,475.0","14,415.0","0.15K","0.14%"
"06/27/2021","14,420.0","14,420.0","14,450.0","14,415.0","0.08K","0.00%"
"06/26/2021","14,420.0","14,420.0","14,450.0","14,415.0","0.08K","0.00%"
"06/25/2021","14,420.0","14,420.0","14,450.0","14,415.0","0.08K","-0.10%"
"06/24/2021","14,435.0","14,440.0","14,466.0","14,432.5","0.10K","0.03%"
"06/23/2021","14,430.0","14,440.0","14,467.5","14,415.0","0.08K","0.21%"
"06/22/2021","14,400.0","14,420.0","14,437.5","14,397.5","0.21K","-0.17%"
"06/21/2021","14,425.0","14,390.0","14,460.0","14,390.0","0.12K","0.38%"
"06/20/2021","14,370.0","14,375.0","14,402.5","14,370.0","0.12K","0.00%"
"06/19/2021","14,370.0","14,375.0","14,402.5","14,370.0","0.12K","0.00%"
"06/18/2021","14,370.0","14,375.0","14,402.5","14,370.0","0.12K","0.14%"
"06/17/2021","14,350.0","14,300.0","14,385.0","14,295.0","0.25K","0.81%"
"06/16/2021","14,235.0","14,235.0","14,267.5","14,235.0","0.19K","0.11%"
"06/15/2021","14,220.0","14,210.0","14,247.5","14,210.0","0.18K","0.14%"
"06/14/2021","14,200.0","14,200.0","14,232.5","14,197.5","0.15K","0.08%"
"06/13/2021","14,188.0","14,222.5","14,242.5","14,183.0","0.24K","0.00%"
"06/12/2021","14,188.0","14,222.5","14,242.5","14,183.0","0.24K","0.00%"
"06/11/2021","14,188.0","14,222.5","14,242.5","14,183.0","0.24K","-0.40%"
"06/10/2021","14,245.0","14,260.0","14,265.0","14,222.5","0.14K","-0.04%"
"06/09/2021","14,250.0","14,265.0","14,274.0","14,245.0","0.17K","0.00%"
"06/08/2021","14,250.0","14,265.0","14,272.5","14,250.0","0.10K","-0.07%"
"06/07/2021","14,260.0","14,275.0","14,288.0","14,247.5","0.17K","-0.21%"
